"report-file-0"
"Iteration" "mass_in etc.."
("Iteration" "mass_in" "mass-balance" "pressure_min")
77 0.6014529376734243 -0.2307279876247242 51609.803485041
78 0.5974642842259256 -0.2463668593897302 48067.34409365344
79 0.5925720745384881 -0.2631342814946099 44732.45128437707
80 0.5867850581375313 -0.2810496025008867 41511.23884295348
81 0.5801130940087716 -0.3001333679331402 38329.97091907874
82 0.5725791391885997 -0.320399009806158 35301.71630468699
83 0.5642240729609789 -0.3418531014398021 32408.76655757804
84 0.5550913466412352 -0.3645031911898425 29647.39927295446
85 0.5452375128695129 -0.3883575273426619 26995.61369612013
86 0.5345409359432705 -0.4136108956353384 24458.86598590731
87 0.5233897213004235 -0.4399627566431591 22039.96108084227
88 0.5125759558460357 -0.4667243242064428 19733.38603419519
89 0.5006826676768287 -0.4954295178736061 17547.18620489803
90 0.4885135935751321 -0.5254113549170862 15347.35396477187
91 0.4761224930613919 -0.5567754693786862 13239.26585005998
92 0.4636276298648014 -0.5895828536188006 11240.29675172461
93 0.451078421342416 -0.623987377396843 9280.475845519366
94 0.4385504102152982 -0.6601411629577887 7357.741636486159
95 0.4261271149826314 -0.6982151903184459 5548.569289199485
96 0.4138944191242277 -0.7384046586085717 3793.963020769348
97 0.401935096380143 -0.7809398766535572 2054.069994125814
98 0.3903269067514367 -0.8260866669147228 427.2994674316749
99 0.3791371395805544 -0.8741198298628705 -1159.219404762416
100 0.3684262455431377 -0.9254246837809452 -2716.320654710607
101 0.3582459461388987 -0.9801958432976856 -4152.94382916582
102 0.3486388024576624 -1.038744978024772 -5528.109821277407
103 0.3396161491318833 -1.101542996662168 -6915.77020347381
104 0.3312386510571541 -1.168804694568408 -8174.901082678353
105 0.3235039584853973 -1.240814819962655 -9342.319846258873
106 0.3164228100018284 -1.317971795830148 -10567.55799159885
107 0.3099799991330551 -1.400035776349131 -11687.46796127818
108 0.3041561861869392 -1.487433921939402 -12674.68986645137
109 0.2989277251938556 -1.579927457491273 -13624.2225958632
110 0.2942666553990378 -1.677284717411043 -14583.10700892313
111 0.2901417579592711 -1.779101743074028 -15459.62328602142
112 0.2865225283394005 -1.884816040642285 -16239.75899076631
113 0.2833792841426456 -1.99368151214847 -17010.26599885947
114 0.2806788325021258 -2.104766898395334 -17801.339323691
115 0.278388632084371 -2.217068527539645 -18508.5460554936
116 0.2764853578382963 -2.329021299214993 -19172.87486641275
117 0.2747535785445485 -2.441022845939486 -19768.40891404242
118 0.2734733482624498 -2.550341265467774 -20290.39836955585
119 0.2723998395646972 -2.656270940103197 -20866.94143625831
120 0.2716296645016852 -2.757670692499801 -21378.75954898394
121 0.2711557091935716 -2.853430057236522 -21841.07293962829
122 0.2709534842679368 -2.942647149466078 -22242.2295104583
123 0.2710008868498154 -3.024454932777366 -22583.35839831546
124 0.2712956907514608 -3.098288300779342 -22890.09960486731
125 0.2717473103371587 -3.163800994031907 -23178.12882508785
126 0.2723825482861966 -3.220567721109634 -23427.86090152226
127 0.2732022982790515 -3.268433707023769 -23655.25231101619
